SMILES,Name,Cluster
COCC(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1c(Cl)cccc1Cl,6658849,5
O=C(/N=C1\S[C@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Br)c1)C1CC1,8995186,5
N#CCC(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(OC(F)(F)F)cc1,9450550,5
COCC(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Cl)c1Cl,5322574,5
CCC(CC)C(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc2c(c1)OCO2,5377355,5
CC(C)(C)CC(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc2c(c1)OCCO2,8974917,5
O=C(O)CCCC(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Cl)cc1,5516375,2
CCCCOc1cccc(N2/C(=N/C(=O)CC#N)S[C@H]3CS(=O)(=O)C[C@@H]32)c1,8993491,5
Cc1cc(C)cc(N2/C(=N/C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@@H]32)c1,5489067,2
COCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Cl)c1Cl,95481046,5
O=C(/N=C1\S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Cl)cc1)[C@H]1CCCO1,105350037,5
Cc1ccc(N2/C(=N/C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@@H]32)cc1C,5516533,2
O=C(COc1ccccc1)/N=C1\S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccccc1,15894462,5
CCN(CC)c1ccc(N2/C(=N/C(=O)CC#N)S[C@@H]3CS(=O)(=O)C[C@@H]32)cc1,6659765,5
COc1ccc(N2/C(=N/C(=O)C3CC3)S[C@@H]3CS(=O)(=O)C[C@H]32)cc1Cl,6660122,5
Cc1cccc(N2/C(=N/C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@@H]32)c1C,5341656,2
Cc1ccc(C)c(N2/C(=N/C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@@H]32)c1,5488655,2
COCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1cc(Cl)cc(Cl)c1,102611682,5
